Latitude,Wind_Speed_(mph)
34.62,21.92
51.77,8.95
37.51,1.83
44.52,18.34
34.26,8.05
59.78,3.85
-3.48,3.06
44.81,8.77
50.49,6.93
-4.67,12.68
51.4,6.93
53.28,13.87
35.67,16.11
25.08,2.73
50.61,6.93
40.83,13.87
46.0,10.29
38.48,2.24
52.37,4.7
47.15,21.92
-8.43,2.95
32.05,8.05
13.63,2.95
46.65,10.29
31.82,2.73
48.05,13.42
38.53,14.99
44.71,1.83
-24.25,7.54
27.55,2.06
-22.73,8.05
50.72,6.93
46.63,10.29
48.82,12.75
-19.12,12.75
48.04,13.24
37.02,2.73
14.12,2.24
7.5,2.24
5.95,4.7
48.22,26.4
54.32,12.01
46.05,3.36
23.71,12.75
17.17,10.0
10.42,2.62
35.92,4.7
26.72,23.04
14.08,8.05
22.3,4.07
35.37,21.92
38.52,6.93
49.93,5.82
-12.66,2.62
21.02,5.82
29.33,11.41
38.96,8.05
50.27,4.47
45.57,3.36
7.21,6.2
49.49,3.36
-16.8,1.39
29.03,6.64
49.83,5.82
6.71,2.24
-27.98,4.41
17.23,4.63
36.97,6.93
44.55,8.05
56.03,1.12
26.0,12.75
-17.07,10.0
53.71,8.95
49.54,10.29
48.98,10.29
43.0,12.75
52.95,2.28
7.82,4.63
46.52,17.22
-15.86,12.35
48.79,16.04
15.63,2.06
45.37,8.77
8.33,2.73
59.89,5.53
47.55,26.4
-6.29,7.09
48.75,12.75
-7.2,5.82
42.3,6.93
33.57,23.04
35.52,23.04
43.28,1.12
32.84,23.2
41.37,9.17
8.93,4.7
33.6,3.18
48.98,9.17
43.06,1.05
44.1,10.29
6.75,2.24
49.24,9.17
24.88,3.74
26.58,7.87
47.13,14.99
45.1,12.46
46.73,18.34
-19.83,13.87
46.57,21.85
44.88,10.0
15.41,5.82
14.23,13.87
21.67,2.28
-31.67,6.93
53.8,21.52
5.38,1.72
5.32,1.61
60.26,13.58
41.28,14.99
36.2,13.87
14.02,2.24
48.53,15.37
47.1,18.34
10.54,3.74
44.46,4.7
-45.42,6.08
53.97,5.82
59.12,18.34
32.88,11.41
6.13,5.08
36.21,3.74
34.64,4.7
57.15,13.42
38.1,2.62
33.67,11.41
0.32,3.36
10.27,5.82
29.14,12.75
-21.3,7.2
6.42,7.43
-20.71,3.85
29.39,4.63
13.98,6.93
57.7,10.29
23.17,2.84
49.5,20.13
50.55,1.12
14.43,4.7
13.69,13.87
42.97,5.82
15.15,5.82
14.97,8.05
8.17,3.4
41.05,11.79
14.11,13.02
49.56,5.82
41.67,14.99
45.22,23.04
10.48,15.03
11.28,9.55
52.15,18.5
54.9,5.82
-12.93,1.83
-9.58,5.82
9.46,5.64
25.72,2.73
25.6,12.75
40.61,6.64
56.02,27.51
31.58,8.05
51.23,3.36
13.87,2.62
-5.62,9.17
41.5,14.99
9.45,3.29
40.84,3.36
-20.26,3.36
7.83,3.96
37.84,2.17
49.79,10.29
-27.63,7.31
33.39,10.56
40.46,3.36
31.28,2.73
47.73,5.82
52.99,13.87
27.73,4.63
19.52,3.36
46.53,3.36
40.99,3.36
18.42,6.93
40.79,4.7
20.57,5.97
32.73,9.17
16.15,2.39
8.73,4.7
-5.25,3.51
49.79,10.29
43.57,3.36
24.53,2.84
50.15,18.34
26.97,6.93
48.57,17.9
6.91,7.87
15.53,7.2
43.02,10.29
51.93,2.24
38.43,8.05
13.37,2.84
47.19,3.96
42.83,30.36
3.49,2.39
11.55,8.32
17.13,6.93
49.87,9.17
-20.16,3.36
2.25,2.84
57.03,10.78
40.91,3.36
32.88,4.97
13.22,2.84
52.8,15.7
-6.0,8.1
19.3,17.22
36.04,24.16
32.54,8.05
-18.2,5.97
40.67,3.36
9.17,6.2
44.87,19.46
18.25,7.2
13.98,12.68
42.48,8.21
-5.95,3.96
35.17,10.45
-24.48,4.7
38.05,26.4
34.85,27.51
42.34,14.99
49.99,10.29
37.37,10.11
40.25,1.12
20.1,3.96
11.31,6.08
51.3,2.39
18.9,3.36
17.55,2.39
40.14,1.12
44.97,13.24
54.06,7.76
45.8,18.34
47.51,18.34
17.79,9.17
9.37,1.16
12.54,6.42
13.98,2.24
22.23,3.4
16.26,6.53
-7.16,4.7
43.5,2.95
15.4,7.2
-8.85,5.41
-38.68,4.07
56.19,12.8
11.55,2.51
48.99,3.36
-28.17,1.05
14.79,13.87
14.44,4.41
59.58,11.41
33.67,11.41
48.68,17.9
45.34,6.93
11.11,3.06
61.07,8.88
23.18,2.84
48.39,11.9
-26.88,9.17
51.8,8.05
-9.53,2.39
49.33,10.29
49.53,5.82
47.63,19.46
14.08,6.93
50.16,15.66
53.71,7.09
38.96,8.05
44.3,18.34
59.88,12.24
44.87,24.16
24.42,2.17
43.13,3.36
34.23,2.28
68.69,11.41
-8.76,9.66
48.04,24.16
46.22,17.22
47.69,25.28
43.68,1.16
29.53,3.36
49.51,5.82
43.31,9.17
51.13,9.17
36.22,16.11
-3.72,8.05
39.62,2.51
26.88,2.73
56.7,10.11
-41.87,9.44
22.05,6.93
55.59,6.71
46.69,6.71
25.45,1.95
50.79,5.82
31.12,2.95
11.52,3.06
37.57,2.84
43.88,5.82
-20.05,10.29
50.47,31.09
-6.22,2.39
42.83,8.05
40.24,4.7
46.78,5.82
24.92,4.47
51.83,8.05
51.27,27.56
9.86,4.97
22.98,13.87
34.48,27.51
47.52,25.28
-7.63,10.11
43.64,18.34
9.53,2.95
27.22,2.73
54.5,8.55
10.23,2.24
43.28,3.06
46.07,24.16
39.53,1.12
-28.34,3.4
39.63,5.82
47.02,18.34
19.68,2.95
13.99,2.24
42.78,2.17
44.18,27.51
44.68,24.16
50.18,8.95
49.29,19.51
59.22,18.34
42.84,9.17
20.35,2.95
-20.04,3.36
41.58,3.36
27.65,2.73
45.43,13.87
55.48,10.29
37.65,9.44
5.71,1.95
6.97,5.75
55.98,1.12
46.62,12.75
35.9,13.87
-19.77,9.17
35.1,5.82
26.17,2.39
-38.65,9.66
40.1,1.12
-46.6,10.78
44.57,18.34
12.01,14.25
-18.51,2.17
19.67,3.36
19.96,3.62
-10.75,7.43
45.18,24.16
24.89,0.94
9.17,3.06
5.5,3.96
57.42,9.66
40.42,2.51
8.53,2.73
32.6,4.97
10.08,2.62
31.52,2.73
43.17,11.79
43.73,9.17
15.27,6.93
49.43,20.13
51.62,2.62
26.66,23.04
44.69,6.93
49.64,5.82
7.99,7.09
52.41,2.73
6.04,9.17
25.57,4.52
24.4,2.62
55.57,13.24
40.1,2.24
7.43,7.43
47.51,3.36
52.27,2.95
36.86,10.29
52.99,25.88
36.73,14.99
43.95,3.36
46.97,14.99
-8.98,2.62
41.93,10.29
10.7,2.73
2.27,3.36
41.66,12.75
55.91,11.18
18.12,7.09
44.6,3.36
41.34,4.7
50.6,3.36
35.13,3.36
46.78,3.36
52.06,13.87
12.73,6.93
8.83,6.2
58.86,6.42
16.87,7.43
14.72,8.05
6.33,4.74
36.93,11.41
3.12,10.78
55.13,13.42
15.33,5.82
36.0,3.74
51.07,1.12
8.11,6.42
46.47,8.05
16.94,2.24
44.98,11.41
15.15,5.82
18.17,5.19
19.38,4.18
29.32,5.82
47.33,15.03
44.48,11.41
55.48,10.45
35.85,3.18
43.35,11.41
38.5,5.82
28.08,2.73
50.28,2.73
45.12,5.82
19.59,3.36
5.9,2.73
32.74,8.05
40.73,11.41
20.12,3.18
14.1,2.24
50.02,10.29
13.96,11.12
44.31,2.24
51.62,2.62
-20.52,6.64
-3.83,9.33
23.89,5.41
-4.17,3.18
13.0,8.99
17.12,4.63
43.82,6.93
49.64,10.29
44.36,2.24
52.01,4.7
47.55,26.4
45.05,12.46
51.52,17.22
-19.92,9.17
34.92,12.75
37.46,1.12
32.52,2.84
22.75,2.62
46.95,9.66
40.38,3.36
51.7,12.24
40.22,16.37
35.0,29.97
42.92,5.82
67.28,13.87
-9.48,6.64
47.61,25.28
46.82,17.22
54.79,12.46
25.2,2.73
13.89,12.12
38.68,3.36
42.32,18.34
46.2,2.24
39.99,3.62
35.3,4.7
40.17,1.12
8.95,3.62
52.62,14.99
42.71,6.71
47.07,14.99
56.12,6.71
7.31,0.72
-23.04,5.82
13.01,2.84
6.03,1.95
45.36,3.36
16.73,11.01
36.27,10.29
42.69,11.41
38.42,8.55
6.41,2.73
30.55,10.22
32.78,23.04
53.52,6.71
47.05,18.34
41.83,4.7
50.33,6.93
-13.16,9.17
7.35,2.24
4.25,3.4
56.79,14.99
16.92,5.82
45.05,12.46
-30.03,10.29
22.7,2.73
-17.85,17.72
-2.63,3.62
36.41,10.29
47.23,23.04
6.74,2.73
26.75,5.86
5.58,2.73
37.85,4.7
51.55,4.63
32.39,12.68
18.79,2.39
24.41,12.01
6.09,3.06
26.28,20.13
50.65,24.09
44.43,23.87
37.91,8.05
60.02,5.53
50.38,2.73
55.82,6.71
55.53,11.45
22.6,2.84
55.35,2.24
